source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,abs_mag_g
6741682865997636096,294.1915045933133,-34.397057018896476,10.02338032020576,20.548847,0.61699295,20.963558,20.346565,15.553918244684711
4068108605238998528,266.02795243395246,-24.614456662696632,10.023381113079317,18.012856,2.893196,19.155249,16.262053,13.017926747752238
5934737744705015936,244.4192026660386,-51.6666629696844,10.02338425738684,20.629267,1.7567005,20.415733,18.659033,15.634338638043593
6031802321896593152,247.7404731113095,-30.22538436097845,10.023393013971608,19.967554,1.2957706,20.089043,18.793272,14.972627888590543
4139849608604741376,257.55592847003095,-13.861151760865246,10.023395065767179,8.924602,0.7702131,9.224022,8.453809,3.9296757955557986
4123391809358066176,264.06605602861305,-18.087609833997753,10.023396244531792,19.33892,1.580286,19.450556,17.87027,14.343995089314944
1032771482424358400,121.39614771865507,54.10716529483191,10.023400368068165,15.745152,2.6093082,17.182169,14.572861,10.750227862827252
826773649633718400,147.3482470118614,49.643609993505365,10.023405848100778,17.072813,3.5068054,19.232122,15.725317,12.077889610630718
3602468523204219264,180.97842402224387,-1.5553713904904398,10.02341390095421,15.297955,2.6178045,16.737638,14.119834,10.303032880470159
397428029868331904,21.88114832224424,46.186943454597795,10.02341978301078,17.541676,3.2976131,19.524124,16.226511,12.546755163059315
5595601251437108352,117.95273486434522,-31.08477935192376,10.023423979421926,15.048811,2.6794634,16.53432,13.854857,10.053891463404462
5102646448748739584,48.08054629110336,-21.159227552171753,10.023453144587723,16.618444,2.9398804,18.308275,15.368395,11.623531265617217
5930464320921559040,248.62150072908616,-54.08033883410162,10.023458459602752,19.930035,2.259718,20.79129,18.531572,14.935122611759422
4708096867308235904,8.264493264972995,-65.50446128480054,10.023473581338484,17.706638,3.3121624,19.70078,16.388618,12.711729586445717
2026621726399662848,298.14740656489937,24.76470133541484,10.023473917370527,20.689007,3.1649075,22.032103,18.867195,15.694098128481546
5884820844447712640,236.89676641205017,-54.715984703065885,10.023496556554264,20.675991,2.7959003,21.83533,19.039429,15.681087285929143
2586875161911837824,22.51408024424215,12.933427601124928,10.023499386852414,14.608812,2.581318,16.02471,13.443392,9.61390917288351
4070450599335829760,268.0841494906362,-22.196600346813785,10.02350091264846,19.784132,2.2428703,20.544756,18.301886,14.789229175059983
3295883484053612160,70.43735505131907,12.009434578663644,10.023504431180234,16.039675,2.7536087,17.587925,14.834316,11.044772692434917
4692063312010208640,17.244898174419554,-68.94749689830869,10.02350891616393,19.121029,3.616846,21.273401,17.656555,14.126127805288153
400368368775409792,21.935289833108826,49.14692445316279,10.023509830425484,13.514318,1.9474449,14.485071,12.537626,8.51941756939193
5872819846863486336,224.92554626226857,-65.34756221441562,10.023510978485826,20.708935,1.6699829,21.387709,19.717726,15.714034135854355
5888984626306118400,232.01593260306646,-51.9843102705438,10.02351625874904,20.354399,1.9772282,20.79606,18.818832,15.359499223240654
5290554497768574720,123.24706789429811,-59.68361173732392,10.02352424945622,17.443674,3.3835754,19.489319,16.105743,12.448776314436529
